seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
1,1,2.0,32,0.005,1.486,1.079,0.001,0.006
1,1,2.0,32,0.001,1.549,1.082,0.001,0.006
1,1,2.0,32,0.0005,1.522,1.08,0.001,0.006
1,1,2.0,32,1e-05,1.571,1.084,0.001,0.007
1,1,2.0,32,0.0001,1.574,1.084,0.001,0.006
1,1,2.0,64,0.01,1.503,1.092,0.001,0.007
1,1,2.0,64,0.005,1.82,1.1,0.001,0.007
1,1,2.0,64,0.001,1.765,1.101,0.001,0.007
1,1,2.0,64,0.0005,1.743,1.098,0.001,0.007
1,1,2.0,64,0.0001,1.744,1.098,0.001,0.007
1,1,2.0,64,1e-05,1.741,1.097,0.001,0.007
1,1,2.0,128,0.01,1.488,1.119,0.001,0.01
1,1,2.0,128,0.005,0.852,1.047,0.0,0.007
1,1,2.0,128,0.001,1.686,1.089,0.001,0.006
1,1,2.0,128,0.0005,1.692,1.09,0.001,0.006
1,1,2.0,128,0.0001,1.704,1.091,0.001,0.006
1,1,2.0,128,1e-05,1.684,1.089,0.001,0.006
1,1,5.0,32,0.01,1.377,1.097,0.001,0.009
1,1,5.0,32,0.005,1.35,1.077,0.001,0.007
1,1,5.0,32,0.001,1.57,1.085,0.001,0.007
1,1,5.0,32,0.0005,1.533,1.081,0.001,0.006
1,1,5.0,32,0.0001,1.568,1.084,0.001,0.007
1,1,5.0,32,1e-05,1.57,1.084,0.001,0.007
1,1,5.0,64,0.01,1.295,1.073,0.001,0.007
1,1,5.0,64,0.005,1.09,1.103,0.001,0.012
1,1,5.0,64,0.001,1.702,1.096,0.001,0.007
1,1,5.0,64,0.0005,1.744,1.098,0.001,0.007
1,1,5.0,64,0.0001,1.739,1.098,0.001,0.007
1,1,5.0,64,1e-05,1.741,1.098,0.001,0.007
1,1,5.0,128,0.01,1.446,1.114,0.001,0.01
1,1,5.0,128,0.005,0.342,1.031,0.0,0.011
1,1,5.0,128,0.001,1.651,1.091,0.001,0.007
1,1,5.0,128,0.0005,1.607,1.084,0.001,0.006
1,1,5.0,128,0.0001,1.683,1.089,0.001,0.006
1,1,10.0,32,0.01,1.627,1.144,0.001,0.011
1,1,5.0,128,1e-05,1.694,1.09,0.001,0.006
1,1,10.0,32,0.005,1.556,1.105,0.001,0.008
1,1,10.0,32,0.001,1.613,1.088,0.001,0.007
1,1,10.0,32,0.0005,1.495,1.08,0.001,0.007
1,1,10.0,32,0.0001,1.532,1.082,0.001,0.007
1,1,10.0,32,1e-05,1.566,1.083,0.001,0.007
1,1,10.0,64,0.01,1.253,1.153,0.001,0.015
1,1,10.0,64,0.005,0.164,1.011,0.0,0.009
1,1,10.0,64,0.001,1.733,1.097,0.001,0.007
1,1,10.0,64,0.0005,1.773,1.097,0.001,0.007
1,1,10.0,64,0.0001,1.746,1.098,0.001,0.007
1,1,10.0,64,1e-05,1.741,1.098,0.001,0.007
1,1,10.0,128,0.01,0.679,1.051,0.0,0.009
1,1,10.0,128,0.005,1.247,1.152,0.001,0.015
1,1,10.0,128,0.001,1.53,1.081,0.001,0.006
1,1,10.0,128,0.0005,1.8,1.1,0.001,0.007
1,1,10.0,128,0.0001,1.685,1.089,0.001,0.006
1,1,10.0,128,1e-05,1.688,1.089,0.001,0.006
1,1,20.0,32,0.01,1.363,1.138,0.001,0.012
1,1,20.0,32,0.005,1.363,1.138,0.001,0.012
1,1,20.0,32,0.001,1.27,1.086,0.001,0.008
1,1,20.0,32,0.0005,1.187,1.062,0.0,0.006
1,1,20.0,32,0.0001,1.539,1.082,0.001,0.006
1,1,20.0,32,1e-05,1.57,1.084,0.001,0.007
1,1,20.0,64,0.01,1.092,1.108,0.001,0.012
1,1,20.0,64,0.005,1.065,1.126,0.001,0.014
1,1,20.0,64,0.001,1.32,1.072,0.001,0.007
1,1,20.0,64,0.0005,1.827,1.104,0.001,0.007
1,1,20.0,64,0.0001,1.733,1.099,0.001,0.007
1,1,20.0,64,1e-05,1.741,1.098,0.001,0.007
1,1,20.0,128,0.01,1.031,1.127,0.001,0.015
1,1,20.0,128,0.005,1.363,1.138,0.001,0.012
1,1,20.0,128,0.001,1.611,1.108,0.001,0.008
1,1,20.0,128,0.0005,1.602,1.083,0.001,0.006
1,1,20.0,128,0.0001,1.724,1.092,0.001,0.007
1,1,20.0,128,1e-05,1.703,1.091,0.001,0.006
1,1,40.0,32,0.01,0.337,1.031,0.0,0.011
1,1,40.0,32,0.005,1.234,1.13,0.001,0.013
1,1,40.0,32,0.001,1.373,1.077,0.001,0.007
1,1,40.0,32,0.0005,1.411,1.076,0.001,0.007
1,1,40.0,32,0.0001,1.564,1.083,0.001,0.006
1,1,40.0,32,1e-05,1.573,1.084,0.001,0.007
1,1,40.0,64,0.01,0.337,1.031,0.0,0.011
1,1,40.0,64,0.005,1.363,1.138,0.001,0.012
1,1,40.0,64,0.001,1.318,1.12,0.001,0.011
1,1,40.0,64,0.0005,1.435,1.077,0.001,0.007
1,1,40.0,64,0.0001,1.744,1.097,0.001,0.007
1,1,40.0,64,1e-05,1.748,1.098,0.001,0.007
1,1,40.0,128,0.01,0.337,1.031,0.0,0.011
1,1,40.0,128,0.005,0.337,1.031,0.0,0.011
1,1,40.0,128,0.001,1.092,1.107,0.001,0.012
1,1,40.0,128,0.0005,1.671,1.091,0.001,0.007
1,1,40.0,128,0.0001,1.612,1.084,0.001,0.006
1,1,40.0,128,1e-05,1.702,1.09,0.001,0.006
2,1,0.001,32,0.01,1.722,1.093,0.001,0.007
2,1,0.001,32,0.005,1.633,1.085,0.001,0.006
