date,MSFT,JPM,JNJ,XOM,PG
2024-02-02,0.22559489,0.19001777,0.15411778,0.20242408,0.22784545
2024-02-05,0.22619510,0.18968351,0.15422086,0.20210493,0.22779556
2024-02-06,0.22664818,0.18953349,0.15427248,0.20188749,0.22765839
2024-02-07,0.22684139,0.18947650,0.15428467,0.20199254,0.22740480
2024-02-08,0.22699711,0.18926422,0.15434361,0.20178461,0.22761047
2024-02-09,0.22717342,0.18910556,0.15440795,0.20139976,0.22791328
2024-02-12,0.22730248,0.18898328,0.15443860,0.20123152,0.22804417
2024-02-13,0.22703712,0.18882754,0.15444496,0.20128287,0.22840750
2024-02-14,0.22718039,0.18862845,0.15451796,0.20079564,0.22887757
2024-02-15,0.22753434,0.18851936,0.15456362,0.20036751,0.22901523
2024-02-16,0.22767991,0.18843593,0.15456635,0.20032854,0.22898929
2024-02-20,0.22770622,0.18847615,0.15453412,0.20050538,0.22877818
2024-02-21,0.22789095,0.18843846,0.15453017,0.20052893,0.22861142
2024-02-22,0.22806731,0.18849263,0.15450121,0.20065585,0.22828305
2024-02-23,0.22807330,0.18873747,0.15440561,0.20112956,0.22765414
2024-02-26,0.22815596,0.18887630,0.15432562,0.20158650,0.22705562
2024-02-27,0.22824003,0.18898620,0.15426537,0.20189400,0.22661431
2024-02-28,0.22837380,0.18918775,0.15419550,0.20226437,0.22597860
2024-02-29,0.22845905,0.18939900,0.15412441,0.20266135,0.22535613
2024-03-01,0.22830717,0.18952830,0.15407284,0.20303497,0.22505677
2024-03-04,0.22835605,0.18965052,0.15404078,0.20317557,0.22477712
2024-03-05,0.22862700,0.18967129,0.15403618,0.20310777,0.22455779
2024-03-06,0.22899312,0.18961988,0.15411288,0.20251502,0.22475903
2024-03-07,0.22924942,0.18945567,0.15417106,0.20216274,0.22496109
2024-03-08,0.22955763,0.18922511,0.15424460,0.20174402,0.22522861
2024-03-11,0.22967857,0.18913981,0.15428802,0.20157415,0.22531945
2024-03-12,0.22977561,0.18914069,0.15433499,0.20137796,0.22537076
2024-03-13,0.23008417,0.18903385,0.15442748,0.20086992,0.22558461
2024-03-14,0.23019651,0.18882805,0.15448314,0.20074344,0.22574882
2024-03-15,0.23061490,0.18857050,0.15459272,0.20015422,0.22606762
2024-03-18,0.23106974,0.18831688,0.15471864,0.19947274,0.22642197
2024-03-19,0.23149653,0.18805951,0.15484393,0.19881067,0.22678940
2024-03-20,0.23198251,0.18783249,0.15497790,0.19802764,0.22717944
2024-03-21,0.23272103,0.18762420,0.15515988,0.19680344,0.22769152
2024-03-22,0.23335579,0.18737517,0.15531370,0.19578692,0.22816843
2024-03-25,0.23404555,0.18701574,0.15546699,0.19473352,0.22873816
2024-03-26,0.23474476,0.18661241,0.15561433,0.19372435,0.22930421
2024-03-27,0.23525797,0.18640120,0.15573180,0.19293512,0.22967395
2024-03-28,0.23585498,0.18629788,0.15586275,0.19197856,0.23000583
2024-04-01,0.23621370,0.18619822,0.15594810,0.19138095,0.23025908
2024-04-02,0.23632640,0.18614534,0.15598749,0.19117841,0.23036246
2024-04-03,0.23661196,0.18592128,0.15603742,0.19076890,0.23066039
2024-04-04,0.23670040,0.18562096,0.15604195,0.19074485,0.23089176
2024-04-05,0.23673518,0.18531807,0.15604283,0.19080418,0.23109969
2024-04-08,0.23698197,0.18501909,0.15608430,0.19050848,0.23140617
2024-04-09,0.23716836,0.18478706,0.15612184,0.19027606,0.23164673
2024-04-10,0.23741242,0.18442219,0.15617354,0.19001630,0.23197556
2024-04-11,0.23772682,0.18388371,0.15621938,0.18971488,0.23245516
2024-04-12,0.23734744,0.18329284,0.15616599,0.19033460,0.23285910
2024-04-15,0.23693812,0.18273672,0.15627204,0.19006385,0.23398921
2024-04-16,0.23753890,0.18178539,0.15646940,0.18808861,0.23611763
2024-04-17,0.23737551,0.18119082,0.15655291,0.18746683,0.23741396
2024-04-18,0.23690216,0.18084930,0.15657182,0.18756287,0.23811390
2024-04-19,0.23622215,0.18068965,0.15653290,0.18821049,0.23834476
2024-04-22,0.23534769,0.18070069,0.15645425,0.18936050,0.23813689
2024-04-23,0.23481882,0.18068652,0.15639865,0.19013241,0.23796362
2024-04-24,0.23417816,0.18079349,0.15632233,0.19117014,0.23753586
2024-04-25,0.23366593,0.18086100,0.15623535,0.19218110,0.23705661
2024-04-26,0.23392543,0.18097104,0.15619248,0.19240966,0.23650135
2024-04-29,0.23419409,0.18107311,0.15615372,0.19260655,0.23597252
2024-04-30,0.23430581,0.18125907,0.15607266,0.19320104,0.23516145
2024-05-01,0.23344553,0.18190090,0.15586323,0.19523090,0.23355949
2024-05-02,0.23337050,0.18222643,0.15574899,0.19588187,0.23277222
2024-05-03,0.23315053,0.18242511,0.15567856,0.19637179,0.23237400
2024-05-06,0.23297764,0.18250959,0.15565126,0.19658120,0.23228024
2024-05-07,0.23263897,0.18258137,0.15560305,0.19699639,0.23218021
2024-05-08,0.23240101,0.18269628,0.15555152,0.19732328,0.23202790
2024-05-09,0.23207118,0.18292184,0.15547805,0.19782308,0.23170593
2024-05-10,0.23175287,0.18317226,0.15538761,0.19848271,0.23120455
