date,MSFT,JPM,JNJ,XOM,PG
2024-08-19,0.20116597,0.20225501,0.19115803,0.20131125,0.20410971
2024-08-20,0.20178856,0.20158549,0.19197854,0.20014064,0.20450680
2024-08-21,0.20221487,0.20110422,0.19258092,0.19935802,0.20474203
2024-08-22,0.20241335,0.20086372,0.19289537,0.19898948,0.20483813
2024-08-23,0.20246600,0.20078009,0.19303374,0.19891033,0.20480983
2024-08-26,0.20249243,0.20083915,0.19305553,0.19895568,0.20465717
2024-08-27,0.20239735,0.20099728,0.19294704,0.19919999,0.20445830
2024-08-28,0.20203972,0.20142750,0.19251998,0.19994934,0.20406346
2024-08-29,0.20174474,0.20181862,0.19214365,0.20058553,0.20370743
2024-08-30,0.20145088,0.20224939,0.19174142,0.20127164,0.20328671
2024-09-03,0.20072821,0.20323300,0.19071689,0.20285380,0.20246813
2024-09-04,0.20004277,0.20414042,0.18976429,0.20432447,0.20172803
2024-09-05,0.19967644,0.20465599,0.18922205,0.20510501,0.20134053
2024-09-06,0.19931407,0.20515409,0.18865779,0.20586248,0.20101166
2024-09-09,0.19907163,0.20555016,0.18823460,0.20640917,0.20073448
2024-09-10,0.19853650,0.20629652,0.18737385,0.20760158,0.20019154
2024-09-11,0.19810425,0.20686525,0.18669350,0.20856008,0.19977693
2024-09-12,0.19782308,0.20724261,0.18621050,0.20920108,0.19952270
2024-09-13,0.19739856,0.20777360,0.18554047,0.21013734,0.19915004
2024-09-16,0.19704990,0.20824710,0.18495093,0.21092604,0.19882604
2024-09-17,0.19701436,0.20826760,0.18485650,0.21102363,0.19883791
2024-09-18,0.19694948,0.20823668,0.18478233,0.21110542,0.19892615
2024-09-19,0.19702175,0.20801462,0.18493384,0.21090661,0.19912310
2024-09-20,0.19732931,0.20759770,0.18535605,0.21028456,0.19943242
2024-09-23,0.19764242,0.20713884,0.18578522,0.20959084,0.19984262
2024-09-24,0.19818453,0.20636988,0.18659033,0.20835461,0.20050065
2024-09-25,0.19860291,0.20579985,0.18718036,0.20740022,0.20101671
2024-09-26,0.19888276,0.20543073,0.18756525,0.20676224,0.20135906
2024-09-27,0.19928576,0.20490332,0.18813153,0.20583686,0.20184261
2024-09-30,0.19978988,0.20416491,0.18888161,0.20464039,0.20252322
2024-10-01,0.20001690,0.20375606,0.18924247,0.20398118,0.20300335
2024-10-02,0.20033726,0.20325802,0.18971872,0.20314643,0.20353962
2024-10-03,0.20033951,0.20313419,0.18975867,0.20294979,0.20381786
2024-10-04,0.20051964,0.20271479,0.19012354,0.20233670,0.20430535
2024-10-07,0.20055161,0.20244099,0.19031526,0.20200145,0.20469074
2024-10-08,0.20059061,0.20221278,0.19047672,0.20172007,0.20499980
2024-10-09,0.20055638,0.20212968,0.19052607,0.20164873,0.20513915
2024-10-10,0.20063999,0.20186637,0.19075671,0.20129347,0.20544349
2024-10-11,0.20090649,0.20146087,0.19121344,0.20063744,0.20578182
2024-10-14,0.20118819,0.20107873,0.19165145,0.19997860,0.20610306
2024-10-15,0.20137128,0.20088208,0.19193922,0.19962171,0.20618577
2024-10-16,0.20147842,0.20078239,0.19212943,0.19943711,0.20617260
2024-10-17,0.20160292,0.20071433,0.19231784,0.19926508,0.20609988
2024-10-18,0.20146757,0.20096061,0.19213851,0.19964214,0.20579112
2024-10-21,0.20148012,0.20102970,0.19214128,0.19972038,0.20562851
2024-10-22,0.20160267,0.20093982,0.19231698,0.19955741,0.20558314
2024-10-23,0.20141199,0.20118658,0.19209634,0.20000878,0.20529634
2024-10-24,0.20144591,0.20118089,0.19216302,0.20000279,0.20520745
2024-10-25,0.20142183,0.20113082,0.19217429,0.20001452,0.20525852
2024-10-28,0.20138277,0.20110141,0.19218290,0.20005661,0.20527627
